"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Potomac Medical Aesthetics, LLC","MD","Healthcare Provider","2876","11/01/2024","Unauthorized Access/Disclosure","Email","No",""
"Regence BlueCross BlueShield","OR","Health Plan","610","10/29/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Family Medical Center","MD","Healthcare Provider","2100","10/29/2024","Hacking/IT Incident","Network Server","No",""
"BrightStar Care","IL","Healthcare Provider","1187","10/28/2024","Hacking/IT Incident","Email","No",""
"Mystic Valley Elder Services","MA","Healthcare Provider","85133","10/28/2024","Hacking/IT Incident","Network Server","No",""
"Oregon Reproductive Medicine, LLC d/b/a ORM Fertility","NY","Healthcare Provider","500","10/25/2024","Hacking/IT Incident","Network Server","No",""
"St. Anthony Regional Hospital","IA","Healthcare Provider","501","10/25/2024","Hacking/IT Incident","Network Server","No",""
"Southwest Colorado Mental Health Center, Inc. d/b/a Axis Health System","CO","Healthcare Provider","23385","10/25/2024","Hacking/IT Incident","Network Server","No",""
"Riverview Health","IN","Healthcare Provider","1562","10/25/2024","Hacking/IT Incident","Network Server","No",""
"Stanislaus County Behavioral Health and Recovery Services","CA","Health Plan","767","10/24/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Gandara Mental Health Center ","MA","Healthcare Provider","20024","10/24/2024","Hacking/IT Incident","Network Server","No",""
"Northeast Spine and Sports Medicine, LLC","NJ","Healthcare Provider","6300","10/24/2024","Hacking/IT Incident","Network Server","No",""
"Mystic Valley Elder Services","MA","Business Associate","2402","10/22/2024","Hacking/IT Incident","Network Server","Yes",""
"Arkansas Blue Cross and Blue Shield","AR","Health Plan","633","10/22/2024","Hacking/IT Incident","Network Server","Yes",""
"Clay Platte Family Medicine","MO","Healthcare Provider","53916","10/18/2024","Hacking/IT Incident","Network Server","No",""
"Advanced Recovery Equipment & Supplies, LLC","NY","Healthcare Provider","56000","10/18/2024","Hacking/IT Incident","Network Server","No",""
"Survival Flight, Inc.","AZ","Healthcare Provider","12342","10/18/2024","Hacking/IT Incident","Email","No",""
"Detroit Wayne Integrated Health Network","MI","Healthcare Provider","3347","10/18/2024","Hacking/IT Incident","Laptop","No",""
"Summit Pathology and Summit Pathology Laboratories, Inc.","CO","Healthcare Provider","1813538","10/18/2024","Hacking/IT Incident","Network Server","No",""
"Chicago Cardiology Institute","IL","Healthcare Provider","2743","10/18/2024","Hacking/IT Incident","Email","No",""
"Valleygate Dental Surgery Centers of Charlotte, Fayetteville, and the West, LLC.","NC","Healthcare Provider","14589","10/17/2024","Hacking/IT Incident","Network Server","No",""
"Jacksonville Children's Multispecialty Clinics/Atlantic Medical Management ","NC","Healthcare Provider","2224","10/17/2024","Unauthorized Access/Disclosure","Email","No",""
"Sarah Bush Lincoln Fayette County Hospital","IL","Healthcare Provider","4845","10/16/2024","Hacking/IT Incident","Email","No",""
"Tri County Medical Supply And Respiratory Services Inc.","AR","Healthcare Provider","8000","10/16/2024","Improper Disposal","Paper/Films","No",""
"OnePoint Patient Care","AZ","Healthcare Provider","795916","10/14/2024","Hacking/IT Incident","Network Server","No",""
"Center for Urban Community Services","NY","Business Associate","38000","10/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Ad Valorem Records, Inc. ","TN","Business Associate","590","10/11/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Cheasapeake Regional Information System for our Patients, Inc. (CRISP)","MD","Business Associate","8008","10/11/2024","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"MiCare Health Center ","MT","Healthcare Provider","2766","10/11/2024","Hacking/IT Incident","Email","No",""
"Gryphon Healthcare, LLC","TX","Business Associate","393358","10/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Tower Clock Eye Center","WI","Healthcare Provider","10737","10/10/2024","Hacking/IT Incident","Email","No",""
"Visionworks of America, Inc. ","TX","Healthcare Provider","39825","10/10/2024","Hacking/IT Incident","Email","No",""
"Wellfleet Group, LLC","MA","Business Associate","22959","10/08/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"DMEscripts, LLC","IN","Business Associate","9993","10/08/2024","Hacking/IT Incident","Email","Yes",""
"TheraCom, L.L.C.","PA","Healthcare Provider","9271","10/08/2024","Hacking/IT Incident","Network Server","No",""
"Smile Design Management LLC","FL","Healthcare Provider","500","10/07/2024","Hacking/IT Incident","Network Server","No",""
"Schneider Regional Medical Center","","Healthcare Provider","1570","10/07/2024","Hacking/IT Incident","Network Server","No",""
"Dohman, Akerlund & Eddy","NE","Business Associate","9941","10/07/2024","Hacking/IT Incident","Network Server","Yes",""
"University of Minnesota Board of Regents","MN","Healthcare Provider","1331","10/07/2024","Hacking/IT Incident","Email","No",""
"Ciox Health LLC, d/b/a Datavant Group","AZ","Business Associate","501","10/07/2024","Hacking/IT Incident","Email","Yes",""
"ATSG, Inc","NY","Business Associate","909469","10/04/2024","Hacking/IT Incident","Network Server","Yes",""
"General Physician, P.C.","NY","Healthcare Provider","501","10/04/2024","Hacking/IT Incident","Email","No",""
"Bayhealth Medical Center","DE","Healthcare Provider","500","10/04/2024","Hacking/IT Incident","Network Server","No",""
"Easter Seals DC | MD | VA, Inc.","MD","Healthcare Provider","584","10/04/2024","Hacking/IT Incident","Email","No",""
"Omni Family Health","CA","Healthcare Provider","468344","10/04/2024","Hacking/IT Incident","Network Server","No",""
"Dr. Daniel J. Leeman, M.D.","TX","Healthcare Provider","50000","10/04/2024","Hacking/IT Incident","Network Server","No",""
"Long Island Plastic Surgical Group, P.C.","NY","Healthcare Provider","161707","10/04/2024","Hacking/IT Incident","Network Server","No",""
"Seven Counties Services, Inc.","KY","Healthcare Provider","501","10/04/2024","Hacking/IT Incident","Email","No",""
"Judge Rotenberg Educational Center","MA","Healthcare Provider","2579","10/03/2024","Hacking/IT Incident","Network Server","No",""
"Walgreen Co.","IL","Healthcare Provider","1915","10/01/2024","Unauthorized Access/Disclosure","Laptop","No",""
"Connally Memorial Medical Center ","TX","Health Plan","1228","09/30/2024","Hacking/IT Incident","Email","No",""
"Hafetz and Associates ","NJ","Business Associate","26474","09/27/2024","Hacking/IT Incident","Email","Yes",""
" CF Medical","GA","Business Associate","242200","09/26/2024","Hacking/IT Incident","Network Server","Yes",""
"Texas Spine Consultants, PLLC ","TX","Healthcare Provider","8048","09/26/2024","Hacking/IT Incident","Email","No",""
"Community Clinic of Maui, Inc. dba Malama I Ke Ola Health Center","HI","Healthcare Provider","123816","09/26/2024","Hacking/IT Incident","Network Server","No",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","57891","09/26/2024","Hacking/IT Incident","Email","No",""
"Prentke Romich Company dba PRC-Saltillo","OH","Healthcare Provider","51627","09/25/2024","Hacking/IT Incident","Network Server","No",""
"Holistix Treatment Center LLC d/b/a We Level Up Treatment Lake Worth","FL","Healthcare Provider","6567","09/24/2024","Hacking/IT Incident","Network Server","No",""
"UT Southwestern Medical Center","TX","Healthcare Provider","778","09/24/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Asheville Arthritis and Osteoporosis Center, P.A.","NC","Healthcare Provider","58251","09/20/2024","Hacking/IT Incident","Network Server","No",""
"Muskogee City County Enhanced 911 Trust Authority","OK","Business Associate","180000","09/20/2024","Hacking/IT Incident","Network Server","Yes",""
"Jacobsen Construction Co., Inc. Health Plan","UT","Health Plan","2127","09/20/2024","Hacking/IT Incident","Network Server","No",""
"Jefferson PA Heart and Vascular","PA","Healthcare Provider","755","09/18/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Southern Bone & Joint Specialists, PA (“Southern Bone”)","MS","Healthcare Provider","7162","09/17/2024","Hacking/IT Incident","Email","No",""
"Rim Country Health and Rehabilitation ","AZ","Healthcare Provider","721","09/16/2024","Hacking/IT Incident","Email","No",""
"ERLC LLC, d/b/a Elitecare Emergency Hospital","TX","Healthcare Provider","24754","09/16/2024","Hacking/IT Incident","Network Server","No",""
"Michigan Masonic Home","MI","Healthcare Provider","500","09/16/2024","Hacking/IT Incident","Email","No",""
"JTaylor & Associates LLC ","TX","Business Associate","22315","09/16/2024","Hacking/IT Incident","Email","Yes",""
"Maryville Academy","IL","Healthcare Provider","500","09/13/2024","Hacking/IT Incident","Network Server","No",""
"Atrium Health","NC","Healthcare Provider","32120","09/13/2024","Hacking/IT Incident","Email","No",""
"Access Ambulatory Surgery Center, LLC","NH","Healthcare Provider","5205","09/12/2024","Hacking/IT Incident","Network Server","No",""
"Young Consulting LLC","GA","Business Associate","954177","09/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Local 1964 ILA Health & Insurance Fund","NJ","Health Plan","2059","09/10/2024","Hacking/IT Incident","Network Server","No",""
"Richland County, WI","WI","Healthcare Provider","76365","09/09/2024","Hacking/IT Incident","Network Server","No",""
"Millinocket Regional Hospital","ME","Healthcare Provider","813","09/09/2024","Hacking/IT Incident","Network Server","No",""
